file	line_no	issue_type	matched_form	matched_sequence	context
1_veda/2_bra/kausibru.txt	3355	isolated_consonant	v	v	yad v eva somam santam viṣṇur iti yajati |
1_veda/2_bra/kausibru.txt	3777	isolated_consonant	v	v	yad v eva viparyasyati grīvāṇām sthemne |
1_veda/2_bra/kausibru.txt	3999	isolated_consonant	v	v	yad v eva triḥ prathamām trir uttamām |
1_veda/2_bra/kausibru.txt	4029	adjacent_vowels	prathāam	āa	yatra prathāam tiṣṭhann anvavocat |
1_veda/2_bra/kausibru.txt	4243	adjacent_vowels	anvāaha	āa	abhirūpā anvāaha |
1_veda/2_bra/kausibru.txt	4299	adjacent_vowels	keo	eo	atha yūpya keo dravya eko gatya ekaḥ |
1_veda/2_bra/kausibru.txt	4357	isolated_consonant	c	c	śuklam vā ca lohitam c agnīṣomayo rūpeṇa iti |
1_veda/2_bra/kausibru.txt	4983	adjacent_vowels	ukthāi	āi	evam tasya ukthāi samṛcchante |
1_veda/2_bra/kausibru.txt	5203	isolated_consonant	v	v	yad v eva udite anyam anudite anyam juhvati |
1_veda/2_bra/kausibru.txt	5215	adjacent_vowels	āupāṃśv	āu	iti nv āupāṃśv antaryāmayoḥ |
1_veda/2_bra/kausibru.txt	5279	adjacent_vowels	tīvṛī	ṛī	tena tṛtīya savanam tīvṛī kṛtam |
1_veda/2_bra/kausibru.txt	5909	isolated_consonant	v	v	yad v eva vigṛhṇāti |
1_veda/2_bra/kausibru.txt	6153	isolated_consonant	v	v	yad v eva ekaviṃśatiḥ |
1_veda/2_bra/kausibru.txt	6323	adjacent_vowels	agnīiṣomau	īi	agnīiṣomau vā antar vṛtra āstām |
1_veda/2_bra/kausibru.txt	7389	isolated_consonant	v	v	yathā stutam v anuśastam bhavati iti |
1_veda/2_bra/kausibru.txt	8537	adjacent_vowels	jyotiu	iu	dvir jyotiu upayanti |
1_veda/2_bra/kausibru.txt	8931	adjacent_vowels	gavuaṃta	ua	etāyām ā upa gavuaṃta indram iti niṣkevalyam |
1_veda/2_bra/kausibru.txt	9073	adjacent_vowels	devatyāi	āi	tad āhuḥ kasmād vaiśvadevāny eva anvāyāty ante na eka devatyāi na dvi devatyāni iti |
1_veda/2_bra/kausibru.txt	9143	isolated_consonant	v	v	yad v eva etās tantryās triṣṭubha uktha pratipado ahar ahaḥ śasya...
1_veda/2_bra/kausibru.txt	9147	isolated_consonant	v	v	yad v eva eṣā tantryā gāyatry ahar ahaḥ surūpa kṛtnuḥ śasyate |
1_veda/2_bra/kausibru.txt	9151	isolated_consonant	v	v	yad v eva eṣa ṣaḍ ahaḥ punaḥ punaḥ abhiplavate |
1_veda/2_bra/kausibru.txt	9371	adjacent_vowels	devatātāa	āa	tryaryamā manuṣī devatātāa iti marutvatīyam |
1_veda/2_bra/kausibru.txt	9967	isolated_consonant	v	v	yad v eva enā na antarayanti |
1_veda/2_bra/kausibru.txt	9977	isolated_consonant	v	v	yad v eva enān na antarayanti |
1_veda/2_bra/kausibru.txt	9991	isolated_consonant	v	v	tasmād v aikāhikībhir eva yajeyuḥ |
1_veda/2_bra/kausibru.txt	11125	adjacent_vowels	tāi	āi	ye avāñcas tat tṛtīya savanam tāi śilpāni |
1_veda/2_bra/kausibru.txt	12387	adjacent_vowels	rājñīi	īi	gaur hi sarpato rājñīi |
1_veda/2_bra/kausibru.txt	12519	adjacent_vowels	saptaṛṣibhyo	aṛ	yajñasya anusaṃcaram saptaṛṣibhyo anantarhitā iti |
1_veda/2_bra/kausibru.txt	12529	adjacent_vowels	pāañca	āa	te pāañca udañca utkramya vācam nihvayante |
1_veda/2_bra/kausibru.txt	12551	adjacent_vowels	sarveām	eā	sarveām eva kāmānām āptyai |
1_veda/2_bra/kausibru.txt	13035	isolated_consonant	v	v	tasmād v apy etarhy uṣṇīṣy eva grāvṇo abhiṣṭauti |
1_veda/2_bra/kausibru.txt	13455	adjacent_vowels	maitrāvaruṇāaya	āa	tan maitrāvaruṇāaya prayacchati |
1_veda/2_bra/kausibru.txt	13559	adjacent_vowels	pratyuācacakṣire	uā	tān na pratyuācacakṣire |
1_veda/2_bra/kausibru.txt	13631	adjacent_vowels	iem	ie	anantarhitā u ha iem ātmanaḥ prāṇāḥ |
1_veda/2_bra/kausibru.txt	13679	adjacent_vowels	dviparyāsua	ua	dviparyāsua maitrāvaruṇaś ca brāhmaṇācchaṃsī ca |
1_veda/2_bra/kausibru.txt	13809	adjacent_vowels	pratiṣṭhityaī	aī	āhutīnām pratiṣṭhityaī |
1_veda/2_bra/pncvbr1u.txt	143	adjacent_vowels	enasaenasāvayajanam	ae	... vidvāṃsaś cāvidvāṃsaś cainaś cakṛma tasyāvayajanam asy enasaenasāvayajanam asi
1_veda/2_bra/pncvbr1u.txt	637	adjacent_vowels	devaokam	ao	devaloko vā eṣa yad viṣuvān devaokam eva tad abhyārohanti
1_veda/2_bra/pncvbr1u.txt	785	isolated_consonant	v	v	tad v āhur yan madhyata upayanty ardham annādyasyāpnuvanty ardhaṃ...
1_veda/2_bra/pncvbr1u.txt	815	isolated_consonant	v	v	tad v āhur yat samau bhavata ekavīryau tarhi bhavata iti pañcadaś...
1_veda/2_bra/pncvbr1u.txt	889	adjacent_vowels	āotvā	āo	...ṭhasya nihavena cātvālam upatiṣṭhante svargam eva tal lokam āotvā śriyaṃ vadante
1_veda/2_bra/pncvbr1u.txt	1083	isolated_consonant	v	v	tasmād v adakṣiṇīyāti hi sā yajñam aricyatātiriktasya dakṣiṇā syāt s...
1_veda/2_bra/pncvbr1u.txt	2373	adjacent_vowels	tejaseindriyeṇa	ei	...paśūnāṃ rūpāṇāṃ vikartā tam eva tad upadhāvati sa enaṃ tejaseindriyeṇa vīryeṇānnādyena prajayā paśubhiḥ punas samardhayati...
1_veda/2_bra/pncvbr1u.txt	2451	adjacent_vowels	pūṛnamāsyo	ūṛ	...ad vāva saṃvatsara indriyaṃ vīryaṃ yad etā rātrayo dvādaśa pūṛnamāsyo dvādaśaikaṣṭakā dvādaśāmāvāsyā yāvad eva saṃvatsara ...
1_veda/2_bra/pncvbr1u.txt	4383	isolated_consonant	v	v	yāvaty anuṣṭup tāvatīṃ vācaṃ sampādya vibrūyus tad v anatiriktaṃ svasyo caiva yajñasyāriṣṭyai
1_veda/2_bra/pncvbr1u.txt	5353	adjacent_vowels	puraetāro	ae	...d ekarcā yad etāvānuṣṭubhau tṛcāv abhito bhavato bahavaḥ puraetāro bhavanti bahavaḥ paścāpinaḥ
1_veda/2_bra/pncvbr1u.txt	6833	adjacent_vowels	goāyuṣī	oā	atha yāvantyau prāṇau tau viśvajid abhijitāv athaite goāyuṣī mithunau stomāv upayanti prajātyai
1_veda/2_bra/pncvbr1u.txt	7053	adjacent_vowels	goāyuṣī	oā	atirātras trivṛt pañcadaśam indrāgnyor ayanaṃ goāyuṣī indrakukṣī atirātraḥ
1_veda/2_bra/pncvbr1u.txt	7059	adjacent_vowels	goāyuṣī	oā	atha yat trivṛt pañcadaśam indrāgnyor ayanaṃ goāyuṣī indrakukṣī bhavato 'saṃvyāthāya
1_veda/2_bra/pncvbr2u.txt	143	adjacent_vowels	enasaenasāvayajanam	ae	... vidvāmsaś cāvidvāmsaś cainaś cakrma tasyāvayajanam asy enasaenasāvayajanam asi
1_veda/2_bra/pncvbr2u.txt	637	adjacent_vowels	devaokam	ao	devaloko vā eṣa yad viṣuvān devaokam eva tad abhyārohanti
1_veda/2_bra/pncvbr2u.txt	785	isolated_consonant	v	v	tad v āhur yan madhyata upayanty ardham annādyasyāpnuvanty ardham...
1_veda/2_bra/pncvbr2u.txt	815	isolated_consonant	v	v	tad v āhur yat samau bhavata ekavīryau tarhi bhavata iti pañcadaś...
1_veda/2_bra/pncvbr2u.txt	889	adjacent_vowels	āotvā	āo	...ṭhasya nihavena cātvālam upatiṣṭhante svargam eva tal lokam āotvā śriyaṃ vadante
1_veda/2_bra/pncvbr2u.txt	1083	isolated_consonant	v	v	tasmād v adakṣiṇīyāti hi sā yajñam aricyatātiriktasya dakṣiṇā syāt s...
1_veda/2_bra/pncvbr2u.txt	2373	adjacent_vowels	tejaseindriyeṇa	ei	...paśūnām rūpāṇāṃ vikartā tam eva tad upadhāvati sa enaṃ tejaseindriyeṇa vīryeṇānnādyena prajayā paśubhiḥ punas samardhayati...
1_veda/2_bra/pncvbr2u.txt	4383	isolated_consonant	v	v	yāvaty anuṣṭup tāvatīṃ vācaṃ sampādya vibrūyus tad v anatiriktaṃ svasyo caiva yajñasyāriṣṭyai
1_veda/2_bra/pncvbr2u.txt	5353	adjacent_vowels	puraetāro	ae	...d ekarcā yad etāvānuṣṭubhau trcāv abhito bhavato bahavaḥ puraetāro bhavanti bahavaḥ paścāpinaḥ
1_veda/2_bra/pncvbr2u.txt	6833	adjacent_vowels	goāyuṣī	oā	atha yāvantyau prāṇau tau viśvajid abhijitāv athaite goāyuṣī mithunau stomāv upayanti prajātyai
1_veda/2_bra/pncvbr2u.txt	7053	adjacent_vowels	goāyuṣī	oā	atirātras trivrt pañcadaśam indrāgnyor ayanaṃ goāyuṣī indrakukṣī atirātraḥ
1_veda/2_bra/pncvbr2u.txt	7059	adjacent_vowels	goāyuṣī	oā	atha yat trivrt pañcadaśam indrāgnyor ayanaṃ goāyuṣī indrakukṣī bhavato 'saṃvyāthāya
1_veda/2_bra/satapath/sb_01_u.txt	171	adjacent_vowels	gṛāmu	ṛā	uto pātryai gṛāmu tarhyavastadupohya gṛhṇīyādyato yunajāma tato vimuñccanti
1_veda/2_bra/satapath/sb_01_u.txt	183	adjacent_vowels	havirgrahiṣyaṃstasmāevaitānnihnute	āe	havirgrahiṣyaṃstasmāevaitānnihnute tatho haitameṣo 'tiyantamagnirdhuryo na
1_veda/2_bra/satapath/sb_01_u.txt	453	isolated_consonant	y	y	manurāvaṃ nveva vedāveti tau hāgatyocaturmano y
1_veda/2_bra/satapath/sb_01_u.txt	525	adjacent_vowels	tasmādvāāskauti	āā	tasminyajñaṃ tanavāmahā iti tasmādvāāskauti
1_veda/2_bra/satapath/sb_01_u.txt	657	isolated_consonant	r	r	saṃgacanta āpo hyetāsāṃ r | asaḥ saṃ revatīrjagatībhiḥ pṛcyantāmiti revatya āpo jagat...
1_veda/2_bra/satapath/sb_01_u.txt	733	adjacent_vowels	śayātāityu	āi	nagna iva muṣita iva śayātāityu caiva tasmādvā abhivāsayati
1_veda/2_bra/satapath/sb_01_u.txt	935	adjacent_vowels	vāasyai	āa	atha tṛtīyam praharati | drapsaste dyām mā skannityayaṃ vāasyai drapso yamasyā
1_veda/2_bra/satapath/sb_01_u.txt	1233	adjacent_vowels	vāetadagnau	āe	tvācakṣuṣāvapaśyāmītyevaitadāhāgnerjihvāsīti yadā vāetadagnau
1_veda/2_bra/satapath/sb_01_u.txt	1497	adjacent_vowels	vāahametadutsākṣye	āa	vāahametadutsākṣye yadvo hotā syāṃ yadvo havyaṃ vaheyamiti tath...
1_veda/2_bra/satapath/sb_01_u.txt	1725	adjacent_vowels	kuryādyadasaṃtatāanubrūyāttasmādvai	āa	kuryādyadasaṃtatāanubrūyāttasmādvai saṃtatā avyavacinnā anvāha
1_veda/2_bra/satapath/sb_01_u.txt	2101	adjacent_vowels	prāṇaetamevaitayā	ae	agniṃ dūtaṃ vṛṇīmaha iti | ya evāyam madhyamaḥ prāṇaetamevaitayā samindhe sā
1_veda/2_bra/satapath/sb_01_u.txt	2657	adjacent_vowels	imāoṣadhayo	āo	atha barhiryajati | śaradvai barhiriti hi śaradbarhiryā imāoṣadhayo
1_veda/2_bra/satapath/sb_01_u.txt	2809	isolated_consonant	h	h	pañca mametīndro 'bravīt | tata itare mithunaṃ nāvindanno h
1_veda/2_bra/satapath/sb_01_u.txt	2997	adjacent_vowels	vāasthāditi	āa	tiṣṭheti tatastasthāvagnaye vāasthāditi tamagnāveva parigṛhya
1_veda/2_bra/satapath/sb_01_u.txt	5101	adjacent_vowels	tūṣṇīmupatiṣṭhateatha	ea	...atiṣṭhate | prāṅne yajño 'nusaṃtiṣṭhātā iti tūṣṇīmupatiṣṭhateatha
1_veda/2_bra/satapath/sb_02_u.txt	575	adjacent_vowels	vāetadyadagnaye	āe	vāetadyadagnaye pavamānāyāgnaye pāvakāyāgnaye śucaya
1_veda/2_bra/satapath/sb_02_u.txt	883	adjacent_vowels	payāahutiṃ	āa	payāahutiṃ vobhayaṃ ha tveva tatpaya eva
1_veda/2_bra/satapath/sb_02_u.txt	889	adjacent_vowels	payāahutiṃ	āa	tatrāparāmāhutiṃ viveda ghṛtāhutiṃ vaiva payāahutiṃ vobhayaṃ ha tveva tatpaya eva
1_veda/2_bra/satapath/sb_02_u.txt	2081	adjacent_vowels	yaevaṃ	ae	vai prajātim prajāyata etāṃ śriyaṃ gacati yaevaṃ vidvānetena yajñena yajate tasmādvā
1_veda/2_bra/satapath/sb_02_u.txt	2153	isolated_consonant	d	d	saṃnayatyeṣa vai somo rājā d
1_veda/2_bra/satapath/sb_03_u.txt	187	adjacent_vowels	vāasyaiṣāgre	āa	tatparidhatte | dīkṣātapasostanūrasītyadīkṣitasya vāasyaiṣāgre tanūrbhavatyathātra
1_veda/2_bra/satapath/sb_03_u.txt	1453	adjacent_vowels	rājāiti	āi	somavikrayinkrayyaste somo rājāiti krayya ityāha somavikrayī taṃ vai te krīṇānīti
1_veda/2_bra/satapath/sb_03_u.txt	2175	adjacent_vowels	agnīnmadantyāpāiti	āi	athāha samullupya prastaram | agnīnmadantyāpāiti madantītyagnīdāha
1_veda/2_bra/satapath/sb_03_u.txt	3907	adjacent_vowels	puraetetyagnirhi	ae	puraetetyagnirhi devatānām mukhaṃ tasmādāhāgnirha daivīnāṃ viśām ...
1_veda/2_bra/satapath/sb_03_u.txt	3907	adjacent_vowels	puraetetyayaṃ	ae	...yagnirhi devatānām mukhaṃ tasmādāhāgnirha daivīnāṃ viśām puraetetyayaṃ
1_veda/2_bra/satapath/sb_04_u.txt	3901	isolated_consonant	k	k	yasminnardhe yajante ye tathā k
1_veda/2_bra/satapath/sb_06_u.txt	515	isolated_consonant	p	p	ta ete sarve paśavo yadagniḥ | tasmādagnau paśavo ramante p | sminnagnirādhīyate
1_veda/2_bra/satapath/sb_06_u.txt	601	adjacent_vowels	tua	ua	...dhayantvityetatsaṃvatsarā ṛṣayo yāni satyeti saṃvatsarāśca tua rṣayaśca satyāni ca
1_veda/2_bra/satapath/sb_06_u.txt	1065	adjacent_vowels	yādṛguai	ua	yādṛguai yonau retaḥ sicyate tādṛgjāyate tadyadetayā savitāraṃ reto...
1_veda/2_bra/satapath/sb_06_u.txt	1635	adjacent_vowels	yajñaevainametatsambharati	ae	athainaṃ kṛṣṇājine sambharati | yajñā vai kṛṣṇājinaṃ yajñaevainametatsambharati
1_veda/2_bra/satapath/sb_06_u.txt	2257	adjacent_vowels	eā	eā	tā etā yajuṣkṛtāyai karoti | ayajuṣkṛtāyā itarā niruktā eā bhavantyaniruktā itarāḥ
1_veda/2_bra/satapath/sb_06_u.txt	3533	adjacent_vowels	pañaemenādadhāti	ae	prayātyekenākṣamekenānumantrayate samidhameva pañaemenādadhāti tatpañca
1_veda/2_bra/satapath/sb_07_u.txt	509	adjacent_vowels	naiṛta	iṛ	... yatra vāsyā oṣadhayo na jāyante nirṛtīrhāsyai tadgṛhṇāti naiṛta eva
1_veda/2_bra/satapath/sb_07_u.txt	1885	isolated_consonant	v	v	svayamātṛṇā prāṇaḥ svayamātṛṇānabhinihito v ai puruṣo 'nnena ca prāṇena ca
1_veda/2_bra/satapath/sb_07_u.txt	2371	isolated_consonant	t	t	sa yadi saṃvatsarabhṛtaḥ syāt | athābhijuhuyātsarvaṃ vai t adyatsaṃvatsarabhṛtaḥ
1_veda/2_bra/satapath/sb_08_u.txt	1185	adjacent_vowels	prāṇāu	āu	stomānupadadhāti prāṇā vai stomāḥ prāṇāu vai vāyurvāyumevaitadupadadhāti
1_veda/2_bra/satapath/sb_08_u.txt	1275	isolated_consonant	v	v	... ya eva triṇava stomastaṃ tadupadadhāti tadyattamāhauja iti v | jro vā
1_veda/2_bra/satapath/sb_08_u.txt	1659	adjacent_vowels	uttarataāyatanā	aā	striyā uttarataāyatanā hi strī tattatkṛtameva purastāttvevainā upadadhyādyat...
1_veda/2_bra/satapath/sb_08_u.txt	1815	isolated_consonant	p	p	ācaccanda ityannaṃ vā ācaccando manaścanda iti p rajāpatirvai manaścando
1_veda/2_bra/satapath/sb_08_u.txt	2263	isolated_consonant	s	s	... tāvṛtūviśvācī ca ghṛtācī cāpsarasāviti dikcopadiśā ceti ha s māha
1_veda/2_bra/satapath/sb_08_u.txt	2321	adjacent_vowels	jarāyuatho	ua	...ti | trivṛdvai paśuḥ pitā mātā putro 'tho garbha ulbaṃ jarāyuatho
1_veda/2_bra/satapath/sb_08_u.txt	2387	adjacent_vowels	saṃsoṛṣṭe	oṛ	yoniḥ purīṣavatī | te saṃsoṛṣṭe upadadhāti saṃspṛṣṭe hyudaraṃ ca yoniśca
1_veda/2_bra/satapath/sb_09_u.txt	591	adjacent_vowels	tāuttamā	āu	tā haitā amṛteṣṭakāḥ | tāuttamā upadadhātyamṛtaṃ tadasya sarvasyottamaṃ dadhāti
1_veda/2_bra/satapath/sb_09_u.txt	693	adjacent_vowels	puraetāro	ae	brahmaṇaḥ puraetāro asyetyayamagnirbrahma tasyaite puraetāro yebhyo na ṛte ...
1_veda/2_bra/satapath/sb_09_u.txt	693	adjacent_vowels	puraetāro	ae	brahmaṇaḥ puraetāro asyetyayamagnirbrahma tasyaite puraetāro yebhyo na ṛte pavate
1_veda/2_bra/satapath/sb_09_u.txt	2569	adjacent_vowels	juhuyāadbibharti	āa	kāmamvevainaṃ sa cinvīta | yaḥ saṃvatsaramagnihotraṃ juhuyāadbibharti vā
1_veda/2_bra/satapath/sb_10_u.txt	21	isolated_consonant	t	t	me'mutraikaṃ tadāhariṣyāmītyevaṃ t
1_veda/2_bra/satapath/sb_10_u.txt	23	adjacent_vowels	tasmādgrahastasmiadyajuḥ	ia	tamadhvaryurgraheṇa gṛhṇāti yadgṛhṇāti tasmādgrahastasmiadyajuḥ purastādeti taṃ
1_veda/2_bra/satapath/sb_10_u.txt	1129	adjacent_vowels	puraetā	ae	...o haivānārtaḥ svasti yajñasyodṛcamaśnute svānāṃ śreṣṭhaḥ puraetā
1_veda/2_bra/satapath/sb_11_u.txt	1591	adjacent_vowels	gantavāu	āu	gantavāu adhā śayīta nirṛterupasthe'dhainaṃ vṛkā rabhasāso adyuriti ...
1_veda/2_bra/satapath/sb_11_u.txt	1863	adjacent_vowels	yaevaṃ	ae	brahmacārī na kāṃ canārtimārcati na sa yaevaṃ veda
1_veda/2_bra/satapath/sb_11_u.txt	2067	adjacent_vowels	payāahutayo	āa	payāahutayo ha vā etā devānām yadṛcaḥ sa ya evaṃ vidvānṛco'haraha...
1_veda/2_bra/satapath/sb_11_u.txt	2069	adjacent_vowels	payāahutibhireva	āa	svādhyāyamadhīte payāahutibhireva taddevāṃstarpayati ta enaṃ tṛptāstarpayanti
1_veda/2_bra/satapath/sb_11_u.txt	2087	adjacent_vowels	medāahutayo	āa	medāahutayo ha vā etā devānām yadatharvāṅgirasaḥ sa ya evaṃ
1_veda/2_bra/satapath/sb_11_u.txt	2089	adjacent_vowels	medāahutibhireva	āa	vidvānatharvāṅgiraso'harahaḥ svādhyāyamadhīte medāahutibhireva
1_veda/2_bra/satapath/sb_11_u.txt	2115	adjacent_vowels	prajñāṛddhiryaśo	āṛ	bhavatīndriyasaṃyamaścaikārāmatā ca prajñāṛddhiryaśo lokapaktiḥ prajñā
1_veda/2_bra/satapath/sb_11_u.txt	2487	adjacent_vowels	ulmukāvakṣayaṇamakratāiti	āi	...atikhyāyovāca tvāṃ svicākalya brāhmaṇā ulmukāvakṣayaṇamakratāiti
1_veda/2_bra/satapath/sb_13_u.txt	1657	adjacent_vowels	kāmānāmāptyāindro	āi	...i kāmā mahānāmnīṣu sarve kāmā aśvamedhe sarveṣāṃ kāmānāmāptyāindro
1_veda/2_bra/satapath/sb_13_u.txt	1669	adjacent_vowels	dyāvāpṛthivīiha	īi	śastvaikāhike nividaṃ dadhāti mahī dyāvāpṛthivīiha jyeṣthe iti caturṛcaṃ
1_veda/2_bra/satapath/sb_13_u.txt	1737	adjacent_vowels	eteuktvā	eu	eteuktvā yadadhrigoḥ pariśiṣṭam bhavati tadāha vāso'dhivāsaṃ
1_veda/2_bra/satapath/sb_13_u.txt	1771	isolated_consonant	t	t	t | syai śataṃ rājanyā anucaryo bhavanti tā udgātāram
1_veda/2_bra/satapath/sb_13_u.txt	1789	adjacent_vowels	sarvāptirvāeṣā	āe	sarvāptirvāeṣā vācaḥ yadabhimethikāḥ sarve kāmā aśvamedhe sarvayā vācā
1_veda/2_bra/satapath/sb_13_u.txt	1793	adjacent_vowels	surabhimatīmṛcamantato'nvāhurdadhikrāvṇoakāriṣamiti	oa	...ip | rāyantyathetare surabhimatīmṛcamantato'nvāhurdadhikrāvṇoakāriṣamiti
1_veda/2_bra/satapath/sb_13_u.txt	1821	isolated_consonant	s	s	etasyāmuktāyāmutthāya s | daso'dhi prāñco yajamānamabhyāyantyagreṇa havirdhāne
1_veda/2_bra/satapath/sb_13_u.txt	1965	adjacent_vowels	kraivyaīje	aī	ete eva pūrve ahanī aptoryāmo'tirātrastena haitena kraivyaīje pāñcālo rājā krivaya iti
1_veda/2_bra/satapath/sb_13_u.txt	1979	adjacent_vowels	dvaitavanaīje	aī	dvaitavanaīje mātsyo rājā yatraitaddvaitavanaṃ sarastadetadgāthayābhigī...
1_veda/2_bra/satapath/sb_13_u.txt	2113	isolated_consonant	s	s	s | rvasyāvaruddhyai
1_veda/2_bra/satapath/sb_13_u.txt	2287	adjacent_vowels	netsarvasmāiva	āi	puruṣamedho netsarvasmāiva sarvam bravāṇīti yo nveva jñātastasmai brūyādatha
1_veda/2_bra/satapath/sb_13_u.txt	2401	adjacent_vowels	devāasurāntsapatnānbhrātṛvyāndigbhyo'nudanta	āa	devāasurāntsapatnānbhrātṛvyāndigbhyo'nudanta te'dikkāḥ parābhavaṃ...
1_veda/2_bra/satapath/sb_13_u.txt	2427	isolated_consonant	t	t	no eva t | thā kuryādyadvā udīcīnapravaṇe karoti tadeva pratyucritam...
1_veda/2_bra/satapath/sb_13_u.txt	2433	adjacent_vowels	vāāpo'nnādyamevāsmāetatpurastātpratyagdadhātyamṛtamu	āe	vāāpo'nnādyamevāsmāetatpurastātpratyagdadhātyamṛtamu vā āpa eṣo ha jīvānām
1_veda/2_bra/satapath/sb_13_u.txt	2433	adjacent_vowels	vāāpo'nnādyamevāsmāetatpurastātpratyagdadhātyamṛtamu	āā	vāāpo'nnādyamevāsmāetatpurastātpratyagdadhātyamṛtamu vā āpa eṣo...
1_veda/2_bra/satapath/sb_13_u.txt	2655	adjacent_vowels	hainamamuṣmiṃlokeṛkṣite	eṛ	hainamamuṣmiṃlokeṛkṣite kulye upadhāvataḥ saptottarastā udakena pūrayanti na h...
1_veda/2_bra/satapath/sb_13_u.txt	2675	isolated_consonant	y	y	sa y | di sthāvarā āpo bhavanti sthāpayantyeṣām pāpmānamatha yad...
1_veda/2_bra/satapath/sb_14_u.txt	547	isolated_consonant	t	t	yā sṛs | t | au
1_veda/2_bra/satapath/sb_14_u.txt	633	isolated_consonant	t	t	sṛs | t | au
1_veda/2_bra/satapath/sb_14_u.txt	745	isolated_consonant	t	t	vratacaryā ya || sṛs | t | au
